Previous,上一頁
Remove,移除
"Remove This Item",移除此物品
"Clear All",全部清除
"Address Book",通訊錄
"Account Information",帳戶資訊
"My Account",我的帳戶
Summary,概要
Settings,設定
Product,商品
SKU,商品編號
Price,價格
Quantity,數量
Total,總計
"Update Items and Quantities",更新項目和數量
ID,編號
Action,操作
Message,訊息
No,否
Yes,是
Website,網站
Save,儲存
Delete,刪除
"Save and Continue Edit",保存並繼續編輯
"Add Attribute",添加產品屬性
"Delete Attribute",刪除屬性
"Use Default Value",使用預設值
"Add New Option",添加新選項
"Delete Option",刪除選項
Code,代號
"Sort Order",訂單排序
Attributes,屬性
"[STORE VIEW]",[商店總覽]
None,無
State/Province,州/省
"Please Select",請選擇
From,由
To,至
Customers,顧客
"Page not found.",找不到頁面。
"We can't add this item to your shopping cart right now.",現在無法新增至購物車
label,標籤
Inactive,閒置
Active,激活
Type,類別
"Shopping Cart Items",購物車項目
"New Attribute",新屬性
"Input Type",輸入類型
"Is Default",是預設
Company,公司
Address,位址
"Street Address",首行地址
City,城市
"Zip/Postal Code",郵政編碼
Country,國家
Qty,數量
Back,上一步
Edit,編輯
"Add New",新增
"First Name",名字
Name,名稱
Email,電郵
"* Required Fields","* 為必填項"
Next,下一頁
"Last Name",姓氏
Status,狀態
"Product Name",產品名稱
Quantity:,數量︰
Search,搜尋
Actions,動作
"Add to Cart",加到購物車
Text,文字
Role,角色
Date,日期
Template,範本
"Payment Type",付款類型
"Transaction Type",交易類型
"Transaction ID",交易編號
"CVV Verification","CVV 驗證"
"Card number",卡號
"Expiration Date",到期日期
"Sorry, but something went wrong",對不起，出了問題。
"Authorize Only",僅授權
"Authorize and Capture",授權和提取
"Credit Card Type",信用卡類型
"Credit Card Number",信用卡卡號
"Card Verification Number",信用卡驗證號碼
Enabled,啟用
Title,標題
"Payment Action",付款操作
Debug,除錯
"Credit Card Types",信用卡類型
"Payment from Applicable Countries",適用國家的付款
"Payment from Specific Countries",特定國家的付款
"Start Date",開始日期
Cancel,取消
"Changes have been made to this section that have not been saved.",對本節進行的修改尚未保存。
"This tab contains invalid data. Please resolve this before saving.","此選項卡包含無效數據。 保存前請解決此問題。"
"records found",找到的記錄
selected,"已選的 "
"Something went wrong.",發生錯誤
Done,完成
options,選項
Select...,"選擇… "
"Select All",全選
"Please enter a number 0 or greater in this field.",請在該字段中輸入大過於0的數字。
"We don't recognize or support this file extension type.",我們無法識別或不支援此檔案類型。
OK,確定
Close,關閉
Ok,確定
"Select Items",選擇項目
Submit,提交
Reset,重置
Apply,套用
Export,匯出
"We couldn't find any records.",我們找不到任何記錄。
Custom,自訂
"per page",每頁
"Attribute Code",屬性代碼
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","這是在內部使用。請確保您不使用空格或多過 %1 個符號。"
"Default Value",預設值
"Unique Value",獨特值
"Unique Value (not shared with other products)","（不能與其他產品共用） 的獨特值"
"Not shared with other products.",不能與其他產品共用
"Input Validation for Store Owner",店主的輸入驗證
Required,必要
System,系統
"Multiple Select",選擇多個
"Not shared with other products",不能與其他產品共用
"Advanced Inventory",進階庫存
"Use Config Settings",使用配置設置
"Allow Multiple Boxes for Shipping",允許多個貨品同時運送
"Front-end development workflow",前台開發工作流程
"Create Permanent Redirect for old URL","tcpu. idv. tw/shoppingcar"
"You created the order.",您建立了訂單。
"Order saving error: %1",訂單保存錯誤：%1
"Please choose a payment method.",請選擇您的付款方式。
"We can't process your order right now. Please try again later.",我們現在無法處理您的訂單。請稍後再試。
"An error occurred on the server. Please try to place the order again.",伺服器出現錯誤。請再次確認訂單。
"Credit Card: xxxx-%1","信用卡︰ xxxx-%1"
"amount %1","金額 %1"
failed.,失敗。
successful.,成功。
"Authorize.Net Transaction ID %1.","Authorize.Net 交易記錄 ID %1。"
authorize,授權
"authorize and capture",授權和提取
capture,提取
refund,退款
void,無效
"Gateway error: %1","閘道錯誤: %1"
"Something went wrong in the payment gateway.",支付閘道錯誤
"Invalid amount for capture.",提取的金額無效。
"Payment capturing error.",提取付款時出現錯誤。
"Invalid transaction ID.",無效的交易號碼
"Payment voiding error.",支付無效
"Invalid amount for refund.",退款金額無效。
"Payment refunding error.",退款錯誤
"The transaction was declined because the response hash validation failed.",回應的hash認證失敗，拒絕交易
"This payment didn't work out because we can't find this order.",這筆付款項無效，因為我們找不到此訂單。
"There was a payment authorization error.",出現了一個付款授權錯誤。
"Please enter a transaction ID to authorize this payment.",請輸入要授權付款的交易編號。
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","發生錯誤 ︰ 已付的金額與訂單額不符。請更正此錯誤，然後重試。"
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","交易%1已獲得批准。 金額%2。 交易狀態為“%3”"
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","交易%1無效/被拒絕。 交易狀態為“%2”。 金額%3。"
"Unable to get transaction details. Try again later.",無法獲取交易記錄詳細資訊。稍後再試。
"Fraud Detection ","欺詐檢測 "
"FDS Filter Action","FDS 篩選器操作"
"AVS Response",AVS地址驗證服務
"Card Code Response",卡代碼回應
"CAVV Response","CAVV 回應"
"Fraud Filters",欺詐行為篩檢程式
"Place Order",確認訂單
"Sorry, but something went wrong. Please contact the seller.","對不起，出了問題。 請聯繫賣家。"
"Authorize.net Direct Post","Authorize.net 直接付款"
"API Login ID","API 的登入識別碼"
"Transaction Key",交易金鑰
"Merchant MD5","商戶 MD5"
"New Order Status",新訂單狀態
"Test Mode",測試模式
"Gateway URL",閘道網址
"Transaction Details URL","交易明細 URL"
"Accepted Currency",接受的貨幣
"Email Customer",電郵客戶
"Merchant's Email",商戶的電子郵件
"Credit Card Verification",信用卡驗證
"Minimum Order Total",最小訂單總數
"Maximum Order Total",最大訂單總計
"Cannot place order.",不能下訂單。
"Order by SKU","按 SKU 排序"
"Remove Row",刪除行
"Sorry, something went wrong. You can find out more in the error log.",抱歉，出問題了。你可以在錯誤日志中找到更多的信息。
"Allowed Credit Card Types",允許的信用卡類型
"Add Rule",新增規則
"Braintree Settlement Report","Braintree 結算報告"
"We can't initialize checkout.",我們不能初始化結帳。
"No authorization transaction to proceed capture.",沒有已授權交易來進行提取。
"Transaction is successful.",事務成功。
"Braintree error response.","Braintree 回應錯誤。"
"Payment method nonce can't be retrieved.",付款方式無法檢索。
"Wrong transaction status",錯誤的交易狀態
Authorize,授權
"--Please Select--",-請選擇-
"Credit Card",信用卡
ending,結束
expires,到期
"Please agree to all the terms and conditions before placing the order.",請在提交訂單之前同意所有條款及條件。
"Please, enter valid Credit Card Number",請輸入有效的信用卡號碼
"Please, enter valid Expiration Date",請輸入有效的到期日期
"Please, enter valid Card Verification Number",請輸入有效的信用卡驗證號碼
"PayPal Account","PayPal 帳戶"
"PayPal Logo","PayPal 商標"
"Credit Card Information",信用卡資訊
"What is this?",這是什麽？
"Save for later use.",保存供以後使用。
"This payment is not available",這筆付款不可用
"Please try again with another form of payment.",請以其他付款方式再試一次。
"Sorry, but something went wrong.",對不起，出了問題。
"Payment ",付款
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","在您的 Magento 商店接受信用卡/借記卡和PayPal。<br/>沒有設置費或月費，客戶不需要離開你的商店來完成購買。"
"Enable this Solution",啟用此解決方案
"Enable PayPal through Braintree","准許 Paypal 透過 Braintree "
"Vault Enabled",存儲庫已啟用
"Basic Braintree Settings","基本 Braintree 設置"
Environment,環境
"Merchant ID","商戶 ID"
"Public Key",公開金鑰
"Private Key",私人金鑰
"Advanced Braintree Settings","進階 Merchant 設置"
"Vault Title",金庫標題
"Merchant Account ID","商戶帳戶 ID"
"Advanced Fraud Protection",進階的防欺詐保護
"Country Specific Settings",國家/地區特定設置
"Country Specific Credit Card Types",國家特定的信用卡類型
"PayPal through Braintree","Paypal 透過 Braintree "
"Override Merchant Name",重寫商戶名稱
"Require Customer's Billing Address",需要客戶的帳單地址
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","允許編輯在 PayPal 結帳時輸入的送貨地址"
"Display on Shopping Cart",在購物車上的顯示
"Skip Order Review",跳過訂單檢閱
"3D Secure Verification Settings","3D 安全驗證設置"
"3D Secure Verification","3D 安全驗證"
"Threshold Amount",門檻金額
"Verify for Applicable Countries",驗證適用的國家
"Verify for Specific Countries",驗證特定的國家
"Dynamic Descriptors",動態描述項
Phone,電話
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","應用篩選器以獲得結果。 網格中只會顯示前100條記錄，您將能夠以.csv格式下載完整的報告。"
"PayPal Payment ID","PayPal 付款編號"
"Created At",新增於
"Order ID",訂單編號
Amount,金額
"Settlement Code",結算代碼
"Settlement Response Text",結算回應文本
"Refund Ids","退款 Ids"
"Settlement Batch ID",結算批次編號
Currency,貨幣
Month,月
Year,"年 "
"Stored Card",已儲存卡
"Credit card successfully added",信用卡已成功添加
"Something went wrong while saving the card.",保存卡時發生錯誤。
"Credit card does not exist",信用卡不存在
"Delete Credit Card",刪除信用卡
"There was error deleting the credit card",刪除信用卡時發生錯誤
"Credit card successfully deleted",信用卡已成功刪除
"Edit Credit Card",編輯信用卡
"My Credit Cards",我的信用卡
"New Credit Card",新的信用卡
"There was error during saving card data",在卡資料儲存過程中發生錯誤
"We can't place the order.",我們不能下訂單。
"Incorrect payment method.",不正確的支付方式。
"We can't initialize checkout review.",我們不能初始化結帳審查。
"We can't update shipping method.",我們不能更新運輸方法。
"The processor declined your transaction, please re-enter your payment information",處理器拒絕您的交易，請重新輸入您的付款資訊
"Transaction declined by gateway: Check card details or try another card","交易被閘道拒絕 ︰ 檢查卡的詳細資料，或嘗試另一張卡"
"Transaction declined: ","交易已被拒絕： "
"The processor responded with an unknown error",處理器回應一個未知錯誤
"Credit card type is not allowed for your country.",你的國家不允許這信用卡類型。
"Credit card type is not allowed for this payment method.",對於此付款條件不允許這信用卡類型。
"Selected payment type is not allowed for billing country.",計費國家不允許所選的付款類型。
"Incomplete payment information.",不完整的付款資訊。
"Please try again later",請稍後再試
"Can not find original authorization transaction for partial capture",找不到部分捕獲的原始授權交易。
"There was an error capturing the transaction: %1.","捕獲交易時出錯 ︰ %1。"
"This refund is for a partial amount but the Transaction has not settled.",這筆退款額只是部分但結算仍未安排。
"Please wait 24 hours before trying to issue a partial refund.","嘗試發出部分退款前請等待 24 小時。"
"There was an error refunding the transaction: %1.","退還交易記錄時發生錯誤 ︰ %1。"
"Some transactions are already settled or voided and cannot be voided.",有些交易是已經解決或作廢，現不能作廢。
"Voided capture.",作廢的捕捉。
"There was an error voiding the transaction: %1.",交易作廢時發生錯誤：%1。
Invoice,發票
Shipment,裝運
"Invalid Customer ID provided",提供的客戶編號無效
"some error",一些錯誤
"Something went wrong while processing.",處理時發生錯誤。
error,錯誤
exception,例外
"Payment Information",付款資訊
"Add new card",新增卡
"Save this card for future use",保存此卡作將來之用
or,或
"Please confirm that you want to delete this credit card",請確認您要刪除這張信用卡
"Cardholder Name",持卡人姓名
"Card Verification Number Visual Reference",卡驗證碼視覺參考
"Make Default",設定為預設
"Billing Address",賬單地址
"Please select region, state or province","請選擇地區、 州或省"
"Add Credit Card",新增信用卡
"Card Number",卡號
"Paypal account","PayPal 帳戶"
"Coinbase account","Coinbase 帳戶"
"Europe bank account",歐洲銀行帳戶
"Credit card",信用卡
"Apple pay card","Apple Pay 卡"
"Android pay card","Android Pay 卡"
"Authorization expired",授權過期
Authorizing,授權中
Authorized,已授權
"Gateway rejected",閘道拒絕
Failed,失敗
"Processor declined",處理器拒絕
Settled,已結算
Settling,結算中
"Submitted for settlement",送出結算資料
Voided,作廢
Unrecognized,無法識別
"Settlement declined",結算拒絕
"Settlement pending",等待結算
"Settlement confirmed",結算確認
Sale,促銷
Credit,積分
"Add Tax",新增稅項
"Delete Tax",刪除稅項
"All Websites",所有網站
Tax,稅金
"Excl. Tax",不含稅
"Incl. Tax",含稅
"Credit card type",信用卡類型
"CVV result","CVV 結果"
Error,"錯誤 "
"UPS Next Day Air","UPS 次日空運送到"
"UPS Worldwide Express","UPS 全球速遞"
Password,密碼
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.",謝謝您和我們聯繫及您的評論和提問。我們很快就會回覆您。
"Email template chosen based on theme fallback when ""Default"" option is selected.",選擇「預設」後，電郵範本將根據佈景主題順序選擇。
"We can't process your request right now. Sorry, that's all we know.",我們現在無法處理您的請求。對不起，那是我們都知道。
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","%1 類並不實現 \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"New Permission",新權限
"Yes, for Everyone",是，給每個人
"Yes, for Specified Customer Groups",是，給指定的客戶群。
"-- Please Select --","-- 請選擇 --"
Enable,啟用
"Customer Groups",客戶群組
"Magento Admin Panel","Magento 管理面板"
Scope,範圍
"Please confirm scope switching. All data that hasn't been saved will be lost.",請確認範圍切換。所有未保存的資料將都會丟失。
General,一般
"Start Time",開始時間
Description,描述
"Preview Update",預覽更新
Thumbnail,縮圖
"Attribute Set",屬性集
"Please correct the data sent.",請更正發送的資料。
"Entity type model '%1' is not found","找不到實體類型模型 '%1'"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","實體類型必須屬於 \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType 裡的其中一個類型"
"There are no product types available for export",無產品類型可輸出
"ProductSku should be specified",應指定產品Sku
"Attribute ""%1"" is required.","必須有 ""%1"" 屬性"
Disabled,停用
"Unable to save product",無法保存產品
"The image cannot be removed as it has been assigned to the other image role",圖像無法被刪除，因為它已被分配給其他圖像角色
"Could not delete Prices",不能刪除價格
Design,設計
"Store View:",店面：
"Stores Configuration",商店設置
"End Date",結束日期
"Category Name",類別名稱
Content,內容
"Category Image",圖像類別
"Add CMS Block","添加CMS 模塊"
"Display Settings",顯示設定
"Search Engine Optimization",搜尋引擎優化
Images,圖片
Products,產品
Categories,分類
Visibility,可見度
Websites,網站
"Storefront Properties",店面的屬性
"Design Theme",設計主題
name,名稱
All,全部
"Display a Link to Loading a Spreadsheet",顯示一個載入試算表的連結
"Link Text",連結文字
"The text of the link to the My Account &gt; Order by SKU page","到我的帳戶的連結顯示的文字內容 &gt; 依照SKU排序的頁面"
"Load a list of SKUs","加载 SKU 的列表"
Conditions,條件
"What’s new with Magento 2.2.4","Magento 2.2.4 的新內容"
"Trusted Payment Options","已信任的 Payment 選項"
"1 Day Freight","1 天貨運"
Copy,複製
Home,首頁
"Go to Home Page",回到首頁
Default,預設
Ordered,已訂購
Root,根
"All Store Views",所有店面
"Are you sure?",是否確認?
N/A,"不適用 "
"A total of %1 record(s) have been deleted.","共有 %1 條記錄已被刪除。"
Loading...,載入中...
Orders,訂單
Shipping,物流
Configure,設定
"Shopping Cart",購物車
"Wish List",願望清單
Any,任何
Subtotal,小計
Discount,折扣
"Grand Total",總計
"Quote item id is not received.",報價項目的ID還没有收到。
"Quote item is not loaded.",報價的項目没有上架。
"We can't find this wish list.",我們找不到這個願望清單。
Guest,訪客
Refunded,已退款
Canceled,已取消
Shipped,已寄送
Invoiced,已開票
Order,訂單
Customer,客戶
"Apply Coupon Code",輸入優惠券代碼
"Remove Coupon Code",刪除優惠券代碼
"Row Subtotal","行 小計"
"No ordered items",沒有訂購項目
"Total %1 product(s)","總數 %1 產品"
Subtotal:,小計:
"Tier Pricing",第層定價
"Please select",請選擇
"Move to Wish List",移動到願望清單
Refresh,重新整理
Item,項目
"Discount Amount",折扣金額
"Row Total",總行數
"Gift Message",禮物信息
From:,從：
To:,"至： "
Message:,"訊息： "
Items,項目
"View Order",查看訂單
"Print Order",列印訂單
"Qty Invoiced",已開發票數量
"Qty Shipped",已出貨數量
"Add Products",新增商品
Dashboard,總覽
"Something went wrong",出現錯誤
"Invalid Form Key. Please refresh the page.",無效表單金鑰，請刷新頁面。
"Requested product doesn't exist",要求的產品並不存在
"Hide from Product Page",從產品頁面隱藏該產品
"Delete image",刪除圖片
Hidden,隐藏
"Image Size",圖像大小
"Image Resolution",圖像分辨率
"Images and Videos",圖片和影片
"Click here or drag and drop to add images.",請按一下此處或拖放加入圖像。
"Private Sales",私人銷售
"Not you?",不是你嗎？
"Welcome, %1!","歡迎您，%1 ！"
"What's this?",這是什麼？
Wishlist,願望清單
"My Wish Lists",我的願望清單
"1 item in wish list","願望清單有 1 個項目"
"%1 items in wish list","願望清單有 %1 個項目"
"Copy to Wish List",複製到願望清單
"Select all",全部選取
"Move Selected to Wish List",移動選定項目至願望清單
"Copy Selected to Wish List",複製選定項目至願望清單
Added,已添加
"Add to Wish List",添加至願望清單
"Encryption Key",加密金鑰
Region/State,地區／國家
"Shipping Price",運費
"Export CSV","匯出 CSV"
Import,匯入
"Base URL",基礎網址
"Secure Base URL",加密的基礎網址
Web,網頁
test,測試
Availability:,庫存:
"Out of stock",缺貨
"Sender Name",寄件者名稱
"Sender Email",寄件者電郵
"Bundle Items",捆綁項目
Store,商店
"The information in this tab has been changed.",此選項卡中的資訊已更改。
"Remove All",全部刪除
"Proceed to Checkout",結帳
"Remove item",刪除項目
"%fieldName is a required field.","%fieldName 是必填的欄位。"
"Use Default",使用預設值
Disable,停用
Configuration,配置
"We can't save the Cron expression.","我們不能儲存 Cron 運算式。"
"Store View",店面
Stores,商店
"Allow everything",允許一切
"Magento Admin","Magento 管理員"
"Manage Stores",管理商店
Dynamic,動態
"We couldn't logout because of an error.",由於發生錯誤，我們不能登出。
"Read Product Price",查閱產品價格
"Minimum order amount is %1",最小數量是1%
"Unable to save address. Please, check input data.",無法儲存地址。請檢查輸入資料
"See price before order confirmation.",確認訂單前請確認價格。
"Click for price",點擊看價格
"All Stores",所有商店
"General Settings",一般設定
Fixed,已修復
"Expand All",全部展開
Catalog,目錄
"Add Price",添加價格
"Message has been rejected: %1","被拒絕的信息︰ %1"
"Current User Identity Verification",當前使用者身份驗證
"Your Password",您的密碼
"You did not sign in correctly or your account is temporarily disabled.",登錄錯誤或帳戶已暫時停用。
"You have entered an invalid password for current user.",您為現使用者輸入的密碼無效。
"The SKU was not found in the catalog.","在目錄中找不到該商品的 SKU。"
"We can't initialize the import model.",我們不能初始化導入模型。
"Please correct the input data for %1 => %2 rate","請更正為 %1 => %2 率輸入的資料"
Results,結果
Grid,格狀
List,列表
Category,類別
"We can't find any items matching these search criteria.",我們找不到任何這些搜尋條件匹配的項目。
"Bucket do not exists",桶並不存在
"Modify your search",修改您的搜索
"Use All Available Attributes",使用所有可用的屬性
Position,位置
"Add Subcategory",添加子類別
"Add Root Category",添加根類別
Day,日
"<label class=""label""><span>from</span></label>","<label class=""label""> <span>從</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""> <span>到</span></label>"
"WYSIWYG Editor",所見即所得編輯器
"Add Product",新增商品
"Product Attributes",產品屬性
"Add New Attribute",添加新的屬性
"Save Attribute",保存屬性
"Save in New Attribute Set",保存在新屬性集中
"Enter Name for New Attribute Set",輸入新屬性集的名稱
"Edit Product Attribute ""%1""","編輯""%1""的產品屬性"
"New Product Attribute",新的產品屬性
"Advanced Attribute Properties",進階屬性
"Add to Column Options",添加到列選項
"Select ""Yes"" to add this attribute to the list of column options in the product grid.",選擇“是”將此屬性添加到產品網格中的列選項清單。
"Use in Filter Options",使用篩選器選項
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","選擇""是""將此屬性添加到產品網格中的篩選器選項清單中。"
Global,全球
"Use in Search",在搜索中的使用
"Visible in Advanced Search",可見於進階搜尋中
"Comparable on Storefront",在店面上可以比較
"Use for Promo Rule Conditions",可以作為促銷條件之一
"Enable WYSIWYG",啟用WYSIWYG
"Allow HTML Tags on Storefront","在店面上允許使用 HTML 標籤"
"Depends on design theme.",取決於設計主題。
"Used for Sorting in Product Listing",用於排序產品的列表
"Media Image",媒體形像
Gallery,圖庫
"System Properties",系統屬性
"Data Type for Saving in Database",在數據庫中保存的數據類型
Static,靜態
Datetime,日期時間
Decimal,小數點
Integer,整數
"Attribute Information",屬性信息
Properties,屬性
Visible,可見
"Web Site",網站
"Delete Selected Group",刪除選定的群組
"You are about to delete all products in this attribute set. Are you sure you want to do that?",您將刪除此屬性中的所有產品。你確定要這麼做嗎？
Empty,空白
"Add New Group",添加新的群組
"Add Group",添加群組
"Based On",根據
"New Product",新產品
"Save & Edit",保存與編輯
"Save & New",保存與新增
"Save & Duplicate",保存與複製
"Save & Close",保存和關閉
Change,"更改 "
"Products Information",產品資訊
"Create Category",新建類別
"Parent Category",主要類別
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","如果沒有自訂主類別，請使用預設的主類別。您可以在任何時候重新分配類別 <a href=""%1""target=""_blank""> 產品 > 類別</a>。"
"Price Alert Subscriptions",價格提示訂閱
"Stock Alert Subscriptions",庫存提示訂閱
"There are no customers for this alert.",這個提示沒有客戶。
"Subscribe Date",訂閱日期
"Last Notified",最後通知
"Send Count",發送計數
"Import Options",匯入選項
"Add New Row",添加新行
"Delete Row",刪除整行
"Default Price",預設價格
"ALL GROUPS",所有群組
"Default Values",預設值
"Related Products",相關產品
Up-sells,向上銷售
Cross-sells,交叉銷售
"Size for %1"," %1 的大小"
"Watermark File for %1","%1 的浮水印檔"
"Position of Watermark for %1","%1 的浮水印的位置"
"Name in %1","在 %1 的名字"
"Change Status",更改狀態
"Images (.gif, .jpg, .png)",圖片（.gif、.jpg、.png）
"Add New Images",添加新圖片
"Inc. Tax",含稅
"Does this have a weight?",是否包含重量
"Notify Low Stock RSS",RSS低庫存通知
"Low Stock Products",低庫存商品
"%1 has reached a quantity of %2.","%1 的庫存量已達 %2"
"Subscribe to RSS Feed",訂閱RSS
"Products Comparison List",商品比較表
AM,上午
PM,下午
"New Products from %1","%1 的新商品"
"New Products",新商品
"%1 - Special Products","%1 - 特殊商品"
"Special Expires On: %1","特價將於 %1 截止"
"Price: %1","價格: %1"
"Special Price: %1","特價: %1"
"Special Products",特殊商品
"Manage Catalog Categories",型錄分類管理
"Manage Categories",分類管理
"You deleted the category.",已刪除該分類
"Something went wrong while trying to delete the category.",刪除該分類時出現錯誤
"Category is not available for requested store.",該商店無法使用此項分類
"There was a category move error.",分類移動錯誤
"You moved the category.",已移動該分類
"You saved the category.",分類已儲存
"Something went wrong while saving the category.",儲存分類時發生錯誤
"Please select products for attributes update.",請選擇商品以更新屬性
"Please make sure to define SKU values for all processed products.","請確保已為所有產品定義 SKU 值。"
"Something went wrong while updating the product(s) attributes.",在更新產品的属性時，系统出錯。
"Unable to add attribute",無法添加該物品的屬性
"Please, specify attributes",請填寫該物品的屬性
"You deleted the product attribute.",你刪除了產品屬性。
"This attribute cannot be edited.",不能編輯此屬性。
"Edit Product Attribute",編輯產品屬性
"Something went wrong while saving the attribute.",保存該屬性時出錯。
