Previous,上一頁
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","屬性代碼""%1""是不正確。請使用字母 (a-z)，數位 (0-9) 或底線(_)，而且第一個字元應該是字母。"
"You saved the product attribute.",你保存了產品屬性。
"An attribute with this code already exists.",這段代碼的屬性已經存在。
"An attribute with the same code (%1) already exists.","具有相同代碼 (%1) 的屬性已經存在。"
"The value of Admin must be unique.",管理員的值必須是唯一的。
"You duplicated the product.",你複製了產品。
"This product doesn't exist.",此產品不存在。
"Invalid product id. Should be numeric value greater than 0","不正確產品 id。數位值應該大於 0"
"A group with the same name already exists.",具有相同名稱的組已存在。
"Something went wrong while saving this group.",保存該組時出了錯。
"A total of %1 record(s) have been updated.","共有 %1 條記錄已更新。"
"Something went wrong while updating the product(s) status.",更新產品狀態時出了錯。
"You saved the product.",你保存了產品。
"SKU for product %1 has been changed to %2.","產品 %1 的產品編號已改為 %2。"
"New Attribute Set",新屬性集
"The attribute set has been removed.",屬性集已刪除。
"New Set",新集
"Manage Product Sets",管理產品集
"Manage Attribute Sets",管理屬性集
"This attribute set no longer exists.",此屬性設置不再存在。
"You saved the attribute set.",你保存了屬性集。
"Something went wrong while saving the attribute set.",保存該屬性時出錯。
"You added product %1 to the comparison list.","你添加產品 %1 到比較清單中。"
"You cleared the comparison list.",你清除了比較清單。
"Something went wrong  clearing the comparison list.",清除比較清單時出錯
"You removed product %1 from the comparison list.","您從比較清單中刪除產品 %1。"
"1 item",1個項目
"%1 items","%1 項目"
"Are you sure you want to remove this item from your Compare Products list?",你確定你要從你的比較產品清單中刪除此項目？
"Are you sure you want to remove all items from your Compare Products list?",你確定你要從你的比較產品清單中刪除此所有項目？
"Invalid attribute %1","無效的屬性 %1"
"Bad controller interface for showing product",壞的控制器界面來顯示產品
"Product is not loaded",產品未載入
"Make sure the To Date is later than or the same as the From Date.",確保結束日期必需晚於或等於出發日期。
"Something went wrong while getting the image url.",獲得圖像URL時出錯。
"Can't delete root category.",不能刪除根類別。
"The value of attribute ""%1"" must be unique.","""%1""屬性的值必須是唯一的。"
"No layout updates",沒有佈局更新
"Products only",僅產品
"Could not save product ""%1"" with position %2 to category %3","無法保存產品""%1""與位置 %2 到類別 %3"
Percent,%
Center,中心
"Something went wrong while saving the file(s).",在储存文件夹時，系统出錯。
"We can't rebuild the index for an undefined product.",我們不能為未定義的產品重建索引。
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","“平面目錄模塊” 有著 %2$d 的限制並擁有可排序的屬性。目前的屬性為 %1$d 。請減少可排序屬性的數量才能使用該產品。"
"Unsupported product type ""%1"".","不受支持的產品類型""%1""。"
"Please correct the category.",請更正該類別。
"Must be category model instance or its id.","必須是模型類別或其 id。"
"The attribute model is not defined.",模型的屬性未定義。
"Clear Price",明確價格
"We couldn't copy file %1. Please delete media with non-existing images and try again.",我們不能複製檔案%1。請刪除媒體與不存在的圖片然後重試。
"The image content is not valid.",圖像內容是無效的。
"Cannot save product.",無法保存產品。
"There is no image with provided ID.","你提供 id的沒有圖像。"
"Such product doesn't exist",這種產品並不存在
"Such image doesn't exist",這種圖像並不存在
"The image does not exist.",圖像不存在
"Please correct the image file type.",請更正圖像文件類型。
"We couldn't move this file: %1.",我們不能移動這個檔案：%1。
"The image could not be resized: ","無法調整圖像大小: "
"Some images could not be resized. See log file for details.","某些圖像無法調整大小。有關詳細資訊, 請參閱日誌檔。"
"Please specify product's required option(s).",請指定產品必需的選項。
"File '%1' is not an image.","檔案 '%1' 不是圖片。"
"The text is too long.",文本太長。
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","我們發現有一個網站與我們的極為相似，打比方，層價格、 客戶組和數量： 客戶組 = %customerGroup，網站 ID = %websiteid，數量 = %qty。行 ID: SKU = %SKU，網站 ID: %websiteid，客戶群： %customerGroup，數量： %qty。"
"Please provide valid data",請提供有效的的數據
"The file upload failed.",上載文件夾失敗
"Catalog, Search",目錄，搜索
"Attribute '%1' is locked. %2","屬性 '%1' 被鎖定。%2"
"As low as",低至
"Some text is here.",需要填入一些文字。
"Add Option",新增選項
"New Option",新的選項
"Option Title",選項標題
"Price Type",價格類型
"Add Selected Products",添加所選的產品
"This operation can take a long time",此操作可能需要很長時間
Groups,組合
"Sorry, we're unable to complete this request.",對不起，我們無法完成這個請求。
"We can't save custom-defined options for bundles with dynamic pricing.",我們無法在自定義選項中保存具有動態定價的捆綁包。
"Mass Actions",大規模的操作
"Unselect All",全部取消選擇
"Select Visible",選擇可見
"Unselect Visible",取消選擇可見
"Special Price",特價
"Regular Price",原價
"Buy %1 for: ","購買 %1: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","每個購買 %2 附送 %1並且<strong class =“benefit”>保存<span class =“percent tier-<span class=""percent tier-%3"">&nbsp;%4 </span>％</strong>"
"Print This Page",打印此頁
"Remove Product",刪除该商品
"In stock",有貨
Compare,比較
Prev,上一頁
"We can't find products matching the selection.",我們找不到匹配的產品。
"Learn More",詳細內容
"Add to Compare",加入比較
"We found other products you might like!",以下是你可能喜歡的產品！
"More Choices:",更多的選擇：
"select all",全選
"Items %1-%2 of %3","專案 %3 的 %1－%2"
"%1 Item","%1 物品"
"%1 Items","%1 物品"
Show,顯示
Availability,庫存
"This value does not follow the specified format (for example, 200x300).","不符合指定的格式標準 (例如，200 x 300)。"
"Please select items.",請選擇項目。
"Image Detail",相片詳情
Adding...,添加中。。。
"unselect all",全部取消選擇
Inventory,庫存
Small,小
"Custom image",自訂圖片
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","使用{{name}} 和{{description}} 作為產品名稱和產品描述內容"
"Recently Viewed/Compared Products",最近查看的產品/正在比較中的產品
"Products per Page on Grid Allowed Values",這個網頁允許的產品展示數量
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","是否在‘每頁顯示X頁’ 下顯示“全部”選項"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.",這僅適用於產品目錄和類別頁面。媒體內容將作為“靜態URL”插入編輯器中。如果系統的基本URL更改，媒體內容將不會更新。
"All products",全部產品
"New products",新產品
"New Products Images and Names Template",新產品的圖片和名稱範本
"New Products Names Only Template",新產品名稱範本
"New Products Images Only Template",新產品圖片範本
Image,圖像
"Add to Wishlist",加入願望清單中
Overview,概覽
Details,詳細資料
"Learn more",了解更多
"Save Category",儲存類別
"Delete Category",刪除類別
"New Subcategory",新子類別
"New Root Category",新根類別
"Set Root Category for Store",設定商店的根類別
"Custom Design",自訂設計
"Category Data",分類資料
"Depends on design theme",取決於設計主題
"We saved the stock notification.",我們儲存了庫存的通知。
"There was a category move error. %1","分類移動錯誤: %1"
"This product no longer exists.",此產品不再存在。
"We can't find the image file.",我們找不到該圖片檔案。
"Could not save product option",無法保存產品選項
"Product option with id %1 does not exist","與 id %1 的產品選項不存在"
"Are you sure you want to delete this category?",是否確實要刪除此類別？
"Watermark Default Size",浮水印預設大小
"Watermark Opacity, Percent",浮水印不透明度百分比
Watermark,浮水印
"Watermark Position",浮水印位置
"This value does not follow the specified format (for example, 200X300).",此數值不符合指定的格式（例如，200X300）。
Advanced,進階
"Add New Rule",添加新規則
"New Rule",新規則
"Edit Rule",編輯規則
Daily,每天
Frequency,頻率
Rule,規則
"Send to Google",發送給Google
"We can't find the product.",找不到產品
"RPC call failed, connection timed out after %time_out.","RPC 調用失敗，連接 %time_out 後逾時。"
"Error while checking if topic is synchronous",檢查主題是否同步時出錯
Filename,檔案名稱
Always,一律
Weekly,每週
Monthly,每月
"Zip/Post Code",郵政編碼
"Are you sure you want to do this?",你確定你想要這樣做？
"Delete Rule",刪除規則
"This rule no longer exists.",此規則不再存在。
"Default Country",預設國家
"Percent Discount",折扣率
"-- Select --",-請選擇-
"Create New Option",創建新的選項
"Add Products to Option",添加產品到選項
"What are you looking for?",你在找什麼？
"There is no defined renderer for ""%1"" option type.","找不到 ""%1"" 選項的渲染器"
"Only implemented for bundle product",僅用於捆綁產品
"Product with specified sku: ""%1"" is not a bundle product","含有最小庫存單位的商品 ""%1"" 非綑綁商品"
"Bundle product could not contain another composite product",捆綁產品不能包含另一個複合產品
"Id field of product link is required","產品連結的 id 欄位是必需的"
"Can not find product link with id ""%1""","找不到 id 為""%1""產品連結"
"Could not save child: ""%1""","無法儲存子項 ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","產品與指定商品編號:""%1""不包含選項:""%2"""
"Child with specified sku: ""%1"" already assigned to product: ""%2""","含有最小庫存單位的子項 ""%1"" 已經分配予產品 ""%2"""
"Product with specified sku: %1 is not a bundle product","產品與指定商品編號: %1 不是捆綁產品"
"Requested bundle option product doesn't exist",請求的產品包選項不存在
"Requested option doesn't exist",請求的選項不存在
"Cannot delete option with id %1","無法刪除ID: %1 的選項"
"Could not save option",不能保存選項
"Price Range",價格範圍
"As Low as",低至
Together,一起
Separately,分開
"Please specify product option(s).",請指定產品選項。
"The options you selected are not available.",您選擇的選項不可用。
"The required options you selected are not available.",您選擇的必要選項不可用。
"Please select all required options.",請選擇所有必要的選項。
"Default Title",預設標題
"Store View Title",商店總覽標題
Drop-down,下拉
"Radio Buttons",單選按鈕
Checkbox,選取方塊
"Default Quantity",預設數量
"User Defined",使用者定義
"Choose a selection...",選擇一個選項。
"Ship Bundle Items",寄送捆綁項目
"There are no products in this option.",在此選項中沒有產品。
"Buy %1 with %2 discount each","每買 %1 有%2 折扣"
"Go back to product details",返回到產品詳細資訊
"Customize and Add to Cart",自訂並添加到購物車
"Your Customization",您的自訂
"Customize %1","自訂 %1"
"No options of this product are available.",沒有這種產品可用的選項。
"Add Products to New Option",將產品添加到新的選項
"Add Products to Option ""%1""","將產品添加到""%1""選項"
"User Name",使用者名稱
"User Email",使用者電郵
"New Password",新密碼
"Password Confirmation",密碼確認
"Interface Locale",介面地區設定
password,密碼
"You need more permissions to access this.",你需要更多的權限以存取此項。
Username,帳號
"You entered an invalid Secret Key. Please refresh the page.",輸入的金鑰不正確，請刷新此頁面。
"Cache Storage Management",緩存記憶管理
"Flush Magento Cache",清空Magento緩存
"The cache storage may contain additional data. Are you sure that you want to flush it?",緩存記憶可能包含其他資料，確定清空？
"Flush Cache Storage",清空緩存記憶
Invalidated,無效
Amounts,金額
Bestsellers,暢銷產品
"Most Viewed Products",最受歡迎的產品
"New Customers",新客戶
"Lifetime Sales",累計銷售
"Average Order",平均訂單量
Average,平均值
Views,點擊率
Revenue,收入
"Media (.avi, .flv, .swf)",媒體（.avi、.flv，.swf）
"All Files",所有檔案
"Reset to Default",重設為預設值
"Save Account",儲存帳戶
"Save Cache Settings",儲存緩存設定
"Catalog Rewrites",目錄重寫
"Images Cache",圖片緩存
Clear,清除
"Search Index",搜尋索引
Rebuild,重建
"Inventory Stock Status",庫存狀態
"Rebuild Catalog Index",重建產品索引
"Rebuild Flat Catalog Category",重建平面類別
"Rebuild Flat Catalog Product",重建平面產品
"Cache Control",緩存控制
"All Cache",所有緩存
"No change",沒有變更
"Add Design Change",新增設計修正
"Edit Design Change",編輯設計修正
"New Store Design Change",新店設計修正
"Date From",從日期
"Date To",到日期
"Design Change",設計修正
"Delete %1 '%2'","刪除 %1 '%2'"
"Delete %1","刪除 %1"
"Block Information",區塊資訊
"Backup Options",備份選項
"Create DB Backup",創建資料庫備份
"Delete Store",刪除商店
"Delete Web Site",刪除網站
"Save Web Site",儲存網站
"Save Store",儲存商店
"Save Store View",儲存店面
"Delete Store View",刪除店面
"Edit Web Site",編輯網站
"New Web Site",新增網站
"Edit Store",編輯商店
"New Store",新增商店
"Edit Store View",編輯店面
"New Store View",新增店面
"Store Information",商店資訊
"Root Category",根類別
"Default Store View",預設店面
"Store View Information",店面資訊
"Web Site Information",網站資訊
"Default Store",預設商店
"Set as Default",設為預設
"Create Website",創建網站
"Create Store",創建商店
"Create Store View",創建店面
"Add New Image",新增圖片
"Export block for grid %1 is not defined","未定義網格 %1 的匯出區塊"
"Reset Filter",重設篩選
"All Countries",所有國家
"Date selector",選擇日期
"[ deleted ]",[已刪除]
"Invalid export type supplied for grid export block",網格匯出區塊指定了無效的匯出類型
"Please correct the column format and try again.",請更正欄位格式然後再試。
"Unknown block type",未知的區塊類型
"Please correct the tab configuration and try again. Tab Id should be not empty",請更正分頁配置然後重試，分頁編號不能為空。
"Please correct the tab configuration and try again.",請更正分頁配置然後重試。
"You have logged out.",您已登出。
"Specified cache type(s) don't exist: %1",指定緩存類型不存在︰%1
"The image cache was cleaned.",已清空圖像緩存。
"An error occurred while clearing the image cache.",清空圖像緩存時出錯。
"The JavaScript/CSS cache has been cleaned.",已清理JavaScript/CSS緩存。
"An error occurred while clearing the JavaScript/CSS cache.",清理JavaScript/CSS緩存時出錯。
"The static files cache has been cleaned.",已清理靜態檔緩存。
"You flushed the cache storage.",你已清空緩存記憶。
"The Magento cache storage has been flushed.",已清空Magento緩存記憶。
"Cache Management",緩存管理
"You can't change status of cache type(s) in production mode",在生產環境中不能更改緩存類型
"%1 cache type(s) disabled.","%1 種緩存類型已被停用。"
"An error occurred while disabling cache.",停用緩存時出錯。
"%1 cache type(s) enabled.","已啟用 %1 個緩存類型。"
"An error occurred while enabling cache.",啟用緩存時出錯。
"%1 cache type(s) refreshed.","已刷新 %1 個緩存類型。"
"An error occurred while refreshing cache.",刷新緩存時出錯。
"We updated lifetime statistic.",我們更新了壽命統計。
"We can't refresh lifetime statistics.",我們不能更新終生統計。
"invalid request",無效的請求
"see error log for details",詳請參閱錯誤日誌
"Service unavailable: %1","服務不可用︰ %1"
"Access Denied.",存取被拒。
"You need more permissions to do this.",你需要更多的權限權來執行此操作。
"No search modules were registered",沒有註冊搜索模塊
"Please make sure that all global admin search modules are installed and activated.",請確保所有的全域管理員搜索模組已安裝並啟動。
"You saved the account.",你已儲存此帳戶。
"An error occurred while saving account.",儲存帳戶時出錯。
"You deleted the design change.",你已刪除此設計編輯。
"You can't delete the design change.",您不能刪除此設計編輯。
"Store Design",商店設計
"Edit Store Design Change",儲存商店設計編輯
"You saved the design change.",你已儲存設計編輯。
"The database was backed up.",資料庫已備份。
"We can't create a backup right now. Please try again later.",我們現在不能建立一個備份。請稍後再試。
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","刪除%1並不會刪除與%1相關聯的信息（例如類別，產品等），但%1將無法恢復。 建議您在刪除%1之前創建資料庫備份。"
"Something went wrong. Please try again.",出了錯。請再試一次。
"This store cannot be deleted.",不能刪除此商店。
"You deleted the store.",你已刪除此商店。
"Unable to delete the store. Please try again later.",無法刪除商店，請稍後再試。
"This store view cannot be deleted.",不能刪除此店面。
"You deleted the store view.",你已刪除此店面。
"Unable to delete the store view. Please try again later.",無法刪除店面，請稍後再試。
"This website cannot be deleted.",不能刪除此網站。
"You deleted the website.",你已刪除此網站。
"Unable to delete the website. Please try again later.",無法刪除網站，請稍後再試。
"The website does not exist.",網站不存在。
"Before modifying the website code please make sure it is not used in index.php.","修改網站代碼前請確保它不用在 index.php 中。"
"The store does not exist",商店不存在
"Store view doesn't exist",店面不存在
"Before modifying the store view code please make sure it is not used in index.php.","修改店面代碼前請確保它不用在 index.php 中。"
"New ","新增 "
"You saved the website.",你已儲存網站。
"The default store cannot be disabled",預設商店不能被停用
"You saved the store view.",您已儲存店面。
"An inactive store view cannot be saved as default store view",處於非活動狀態店面不能保存為預設店面
"You saved the store.",你已儲存了商店。
"Something went wrong while saving. Please review the error log.",儲存時出錯，請查看錯誤日誌。
"Last 24 Hours","最近 24 小時"
"Last 7 Days","最近 7 天"
"Current Month",這個月
YTD,本年度
2YTD,兩年度
"Authentication storage is incorrect.",不正確的認證記憶。
"Authentication error occurred.",認證發生錯誤。
"Admin session lifetime must be less than or equal to 31536000 seconds (one year)",管理員登錄有效時限必須等於或少於31536000秒（一年）
"Admin session lifetime must be greater than or equal to 60 seconds",管理員登錄有效時限必須等於或多於60秒
"Order #%1","訂單 #%1"
"Welcome, please sign in",歡迎光臨，請先登錄
"user name",使用者名稱
"Sign in",登入
"Select Range:",選擇範圍︰
"No Data Found",找不到資料
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","圖表已停用。若要啟用圖表，請按 <a href=""%1"">這裡</a>。"
"Last Orders",最新訂單
"Last Search Terms",最新搜尋
"Top Search Terms",熱門搜尋
"There are no search keywords.",沒有搜尋關鍵字。
"View Statistics For:",查看統計資料︰
"Reload Data",重新載入資料
"Browse Files...",瀏覽檔案⋯
"Copyright &copy; %1 Magento Commerce Inc. All rights reserved.","版權所有 &copy; %1 Magento Commerce Inc. 保留所有權利。"
"ver. %1","版本 %1"
"Account Setting",帳戶設定
"Customer View",客戶介面
"Sign Out",登出
"About the calendar",關於日曆
"Go Today",今天去
Time,時間
Hour,小時
Minute,分
"JavaScript may be disabled in your browser.","您的瀏覽器可能已停用 JavaScript。"
"To use this website you must first enable JavaScript in your browser.","要使用本網站必須首先在您的瀏覽器啟用 JavaScript。"
"This is only a demo store. You can browse and place orders, but nothing will be processed.",這是只是一個演示的商店。您可以瀏覽並下訂單，但將不被處理。
"Additional Cache Management",額外的緩存管理
"Flush Catalog Images Cache",清空產品圖片緩存
"Pregenerated product images files",預先生成的產品圖片
"Flush JavaScript/CSS Cache","清空 JavaScript/CSS 緩存"
"Themes JavaScript and CSS files combined to one file","主題 JavaScript 和 CSS 檔合併到一個檔案。"
"Flush Static Files Cache",沖洗靜態檔案快取
"Preprocessed view files and static files",預先處理的視圖檔和靜態檔
JavaScript/CSS,"JavaScript 和 CSS"
"JavaScript/CSS Cache","JavaScript 和 CSS 緩存"
"No records found.",找不到記錄。
"Big Image",大圖像
"Additional Settings",附加設置
"Previous page",上一頁
"of %1",%1的
"Next page",下一頁
"Export to:","匯出至 "
"We could not detect a size.",我們無法檢測到大小。
"Global Search",全域搜索
Marketing,行銷
"SEO & Search","SEO 與搜索"
"User Content",使用者內容
Elements,元素
Schedule,"日程表 "
"Other Settings",其他設定
"Data Transfer",檔案傳輸
"Connect Manager",連線管理員
"Package Extensions",擴充包
Tools,工具
"Web Setup Wizard",網路安裝精靈
Communications,通信
Services,服務
"Disable Modules Output",停用模組輸出
"Store Email Addresses",存儲電郵地址
"Custom Email 1","自訂電郵 1"
"Custom Email 2","自訂電郵 2"
"General Contact",一般聯絡人
"Sales Representative",銷售代表
"Customer Support",客戶支援
Developer,開發人員
"Enabled Template Path Hints for Storefront",為店面啟用範本路徑提示
"Enabled Template Path Hints for Admin",為管理面版啟用範本路徑提示
"Add Block Names to Hints",提示加上區塊名稱
"Template Settings",範本設定
"Allow Symlinks",允許符號連結
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.",警告！此功能包含潛在安全風險，生產環境不建議啟用。
"Minify Html",簡化Html
"Minification is not applied in developer mode.",開發模式不簡化。
"Translate Inline",內嵌翻譯
"Enabled for Storefront",於店面啟用
"Enabled for Admin",於管理面版啟用
"Translate, blocks and other output caches should be disabled for both Storefront and Admin inline translations.",店面和管理面版的內嵌翻譯中，應該停用翻譯、區塊和其它輸出緩存。
"JavaScript Settings","JavaScript 設定"
"Merge JavaScript Files","合併 JavaScript 檔案"
"Enable JavaScript Bundling","啟用 JavaScript 捆綁"
"Minify JavaScript Files","簡化 JavaScript 檔案"
"CSS Settings","CSS 設定"
"Merge CSS Files","合併 CSS 檔案"
"Minify CSS Files","簡化 CSS 檔案"
"Image Processing Settings",圖像處理設定
"Image Adapter",圖像配接器
"Static Files Settings",靜態檔設定
"Sign Static Files",靜態檔案電子簽名
"Country Options",國家選項
"Allow Countries",允許國家
"European Union Countries",歐洲聯盟國家
"Top destinations",熱門目的地
"Locale Options",地區設定選項
Timezone,時區
Locale,語言
"First Day of Week",一周的第一天
"Weekend Days",週末天
"Store Name",商店名稱
"Store Phone Number",商店電話號碼
"Store Hours of Operation",商店上班時間
"ZIP/Postal Code",郵遞區號
"Street Address Line 2",次行地址
"VAT Number",增值稅號
"Single-Store Mode",獨立商店模式
"Enable Single-Store Mode",啟用獨立商店模式
"This setting will not be taken into account if system has more than one store view.",如系統有多個店面，此設定將被略過。
"Mail Sending Settings",郵件發送設定
"Disable Email Communications",停用電郵通訊
Host,主機
"Port (25)",連接埠（25）
"Set Return-Path",設定返回路徑
"Return-Path Email",返回路徑電郵
Admin,管理員
"Admin User Emails",管理員電郵
"Forgot Password Email Template",忘記密碼電郵範本
"Forgot and Reset Email Sender",忘記及重設密碼寄件者
"Startup Page",起始頁面
"Admin Base URL",管理面版基礎網址
"Use Custom Admin URL",使用自訂管理面版網址
"Custom Admin URL",自訂管理面版網址
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","請確保基礎網址是以 '/' 斜線結尾，例如 http://yourdomain/magento/"
"Use Custom Admin Path",使用自訂管理路徑
"Custom Admin Path",自訂管理路徑
"You will have to sign in after you save your custom admin path.",保存您的自定義管理路徑後，您必須重新登錄。
Security,安全性
"Recovery Link Expiration Period (hours)",恢復鏈接到期時間（小時）
"Please enter a number 1 or greater in this field.",請在此欄位中輸入1或更大的數字。
"Add Secret Key to URLs","將金鑰添加到 Url"
"Login is Case Sensitive",登錄名是區分大小寫
"Admin Session Lifetime (seconds)","管理會話存留期 （秒）"
"Please enter at least 60 and at most 31536000 (one year).","請輸入至最少 60 和 最多 31536000 （一年）。"
"Enable Charts",啟用圖表
"Url Options","Url 選項"
"Add Store Code to Urls","將店舖代碼添加到 Url"
"Auto-redirect to Base URL",自動導向至基礎網址
"Use Web Server Rewrites",使用網站伺服器重寫
"Base URLs",基礎網址
"Specify URL or {{base_url}} placeholder.","指定網址或 {{base_url}} 替代字。"
"Base Link URL",基礎連結網址
"Base URL for Static View Files",靜態檔案基礎網址
"May be empty or start with {{unsecure_base_url}} placeholder.","可留空或以 {{unsecure_base_url}} 開始的替代字。"
"Base URL for User Media Files",媒體檔案基礎網址
"Base URLs (Secure)",基礎網址（加密）
